Calculation1,Campus,City,County/State/ Territory,Fall Term,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2016,adm,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2016,app,FORT BRAGG HIGH SCHOOL,All,9
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2015,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2015,adm,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2015,app,FORT BRAGG HIGH SCHOOL,All,9
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2014,enr,FORT BRAGG HIGH SCHOOL,Hispanic/ Latino,3
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2014,adm,FORT BRAGG HIGH SCHOOL,Hispanic/ Latino,3
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2014,app,FORT BRAGG HIGH SCHOOL,Hispanic/ Latino,5
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2014,enr,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2014,adm,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2014,app,FORT BRAGG HIGH SCHOOL,All,9
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2013,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2013,adm,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2013,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2012,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2012,adm,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2012,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2011,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2011,adm,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2011,app,FORT BRAGG HIGH SCHOOL,All,8
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2010,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2010,adm,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2010,app,FORT BRAGG HIGH SCHOOL,All,8
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2009,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2009,adm,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2009,app,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2008,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2008,adm,FORT BRAGG HIGH SCHOOL,White,3
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2008,app,FORT BRAGG HIGH SCHOOL,White,5
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2008,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2008,adm,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2008,app,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2007,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2007,adm,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2007,app,FORT BRAGG HIGH SCHOOL,White,5
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2007,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2007,adm,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2007,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2006,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2006,adm,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2006,app,FORT BRAGG HIGH SCHOOL,White,5
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2006,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2006,adm,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2006,app,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2004,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2004,adm,FORT BRAGG HIGH SCHOOL,White,3
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2004,app,FORT BRAGG HIGH SCHOOL,White,5
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2004,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2004,adm,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2004,app,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2002,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2002,adm,FORT BRAGG HIGH SCHOOL,White,4
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2002,app,FORT BRAGG HIGH SCHOOL,White,7
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2002,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2002,adm,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2002,app,FORT BRAGG HIGH SCHOOL,All,12
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2001,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2001,adm,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2001,app,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2000,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2000,adm,FORT BRAGG HIGH SCHOOL,White,7
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2000,app,FORT BRAGG HIGH SCHOOL,White,9
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2000,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2000,adm,FORT BRAGG HIGH SCHOOL,All,8
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,2000,app,FORT BRAGG HIGH SCHOOL,All,11
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1999,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1999,adm,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1999,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1998,enr,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1998,adm,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1998,app,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1997,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1997,adm,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1997,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1996,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1996,adm,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1996,app,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1995,enr,FORT BRAGG HIGH SCHOOL,White,4
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1995,adm,FORT BRAGG HIGH SCHOOL,White,5
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1995,app,FORT BRAGG HIGH SCHOOL,White,7
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1995,enr,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1995,adm,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1995,app,FORT BRAGG HIGH SCHOOL,All,10
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1994,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1994,adm,FORT BRAGG HIGH SCHOOL,White,4
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1994,app,FORT BRAGG HIGH SCHOOL,White,6
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1994,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1994,adm,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Davis,Fort Bragg,Mendocino,1994,app,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Irvine,Fort Bragg,Mendocino,2016,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Irvine,Fort Bragg,Mendocino,2016,adm,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,Irvine,Fort Bragg,Mendocino,2016,app,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Irvine,Fort Bragg,Mendocino,2015,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Irvine,Fort Bragg,Mendocino,2015,adm,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Irvine,Fort Bragg,Mendocino,2015,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Irvine,Fort Bragg,Mendocino,2014,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Irvine,Fort Bragg,Mendocino,2014,adm,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Irvine,Fort Bragg,Mendocino,2014,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Los Angeles,Fort Bragg,Mendocino,2017,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Los Angeles,Fort Bragg,Mendocino,2017,adm,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Los Angeles,Fort Bragg,Mendocino,2017,app,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Los Angeles,Fort Bragg,Mendocino,2016,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Los Angeles,Fort Bragg,Mendocino,2016,adm,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Los Angeles,Fort Bragg,Mendocino,2016,app,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Los Angeles,Fort Bragg,Mendocino,2014,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Los Angeles,Fort Bragg,Mendocino,2014,adm,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Los Angeles,Fort Bragg,Mendocino,2014,app,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Los Angeles,Fort Bragg,Mendocino,2011,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Los Angeles,Fort Bragg,Mendocino,2011,adm,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,Los Angeles,Fort Bragg,Mendocino,2011,app,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2016,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2016,adm,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2016,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2012,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2012,adm,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2012,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2008,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2008,adm,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2008,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2002,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2002,adm,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2002,app,FORT BRAGG HIGH SCHOOL,White,5
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2002,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2002,adm,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2002,app,FORT BRAGG HIGH SCHOOL,All,8
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2001,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2001,adm,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,San Diego,Fort Bragg,Mendocino,2001,app,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2017,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2017,adm,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2017,app,FORT BRAGG HIGH SCHOOL,All,8
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2014,enr,FORT BRAGG HIGH SCHOOL,Hispanic/ Latino,
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2014,adm,FORT BRAGG HIGH SCHOOL,Hispanic/ Latino,
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2014,app,FORT BRAGG HIGH SCHOOL,Hispanic/ Latino,5
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2014,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2014,adm,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2014,app,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2013,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2013,adm,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2013,app,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2012,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2012,adm,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2012,app,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2010,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2010,adm,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2010,app,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2008,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2008,adm,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2008,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2006,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2006,adm,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2006,app,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2003,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2003,adm,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2003,app,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2002,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2002,adm,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2002,app,FORT BRAGG HIGH SCHOOL,All,8
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2001,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2001,adm,FORT BRAGG HIGH SCHOOL,White,4
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2001,app,FORT BRAGG HIGH SCHOOL,White,5
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2001,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2001,adm,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2001,app,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2000,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2000,adm,FORT BRAGG HIGH SCHOOL,White,4
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2000,app,FORT BRAGG HIGH SCHOOL,White,5
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2000,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2000,adm,FORT BRAGG HIGH SCHOOL,All,6
FORT BRAGG HIGH SCHOOL50955,Santa Barbara,Fort Bragg,Mendocino,2000,app,FORT BRAGG HIGH SCHOOL,All,8
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2017,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2017,adm,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2017,app,FORT BRAGG HIGH SCHOOL,White,6
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2017,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2017,adm,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2017,app,FORT BRAGG HIGH SCHOOL,All,11
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2016,enr,FORT BRAGG HIGH SCHOOL,White,
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2016,adm,FORT BRAGG HIGH SCHOOL,White,7
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2016,app,FORT BRAGG HIGH SCHOOL,White,8
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2016,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2016,adm,FORT BRAGG HIGH SCHOOL,All,8
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2016,app,FORT BRAGG HIGH SCHOOL,All,9
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2015,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2015,adm,FORT BRAGG HIGH SCHOOL,All,3
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2015,app,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2014,enr,FORT BRAGG HIGH SCHOOL,Hispanic/ Latino,
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2014,adm,FORT BRAGG HIGH SCHOOL,Hispanic/ Latino,4
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2014,app,FORT BRAGG HIGH SCHOOL,Hispanic/ Latino,7
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2014,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2014,adm,FORT BRAGG HIGH SCHOOL,All,4
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2014,app,FORT BRAGG HIGH SCHOOL,All,10
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2013,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2013,adm,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2013,app,FORT BRAGG HIGH SCHOOL,All,7
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2012,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2012,adm,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2012,app,FORT BRAGG HIGH SCHOOL,All,8
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2011,enr,FORT BRAGG HIGH SCHOOL,All,
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2011,adm,FORT BRAGG HIGH SCHOOL,All,5
FORT BRAGG HIGH SCHOOL50955,Santa Cruz,Fort Bragg,Mendocino,2011,app,FORT BRAGG HIGH SCHOOL,All,5
