Calculation1,Campus,City,County,Fall Term,Measure Names,School,Measure Values
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2016,App GPA,FORT BRAGG HIGH SCHOOL,3.994
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2015,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2015,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2015,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2015,Enrl GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2015,Enrl GPA,FORT BRAGG HIGH SCHOOL,4.172
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2015,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2015,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2015,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Berkeley,Fort Bragg,Mendocino,2015,Adm GPA,FORT BRAGG HIGH SCHOOL,
FORT BRAGG HIGH SCHOOL050955,Universitywide,Fort Bragg,Mendocino,2015,Adm GPA,FORT BRAGG HIGH SCHOOL,4.089090909
FORT BRAGG HIGH SCHOOL050955,Santa Cruz,Fort Bragg,Mendocino,2015,App GPA,FORT BRAGG HIGH SCHOOL,3.735714286
FORT BRAGG HIGH SCHOOL050955,Irvine,Fort Bragg,Mendocino,2015,App GPA,FORT BRAGG HIGH SCHOOL,3.63
FORT BRAGG HIGH SCHOOL050955,Davis,Fort Bragg,Mendocino,2015,App GPA,FORT BRAGG HIGH SCHOOL,3.798888889
